Evento,Número de Participantes
Soft Skills dos Professores: o reflexo na vida dos alunos,24
"“Conhecimentos, Habilidades e Atitudes nos planos de ensino das disciplinas do IMT”",31
Engenharia Engajada,36
Evento Institucional PSub 2024,71
Assurance of learning – Feedback de participação em evento da AACSB,53
Reunião de avaliação do 1º semestre do uso do CANVAS LMS,15
Alinhamento das pesquisas do IMT,14
Evento Institucional P2,55
Alinhamento das pesquisas do IMT,15
Nuvem de pontos aplicada a CAD e modelagem BIM (Revit),7
Assessment e uso da IA - Feedack de participação na ASEE 2024,31
Engajamento e Senso de Pertencimento,39
Desenvolvimento de Instrumentos de Avaliação Alinhados às Competências e Habilidades,11
Definição e desdobramento de competências e Avaliação,34
Reflexões sobre o Perfil do Egresso no Ensino Superior do IMT: Competências Essenciais e Demandas Contemporâneas,46
"Conhecimentos, Habilidades e Atitudes nos planos de ensino das disciplinas do IMT",39
Aplicações de Realidade Virtual na Plataforma 3D Experience - Dassault,7
